h3,total_exposure,exposure_bin
89283471343ffff,294,High (50+)
8929a0b4307ffff,293,High (50+)
892834652bbffff,293,High (50+)
8929a562e7bffff,293,High (50+)
8929a47246fffff,293,High (50+)
892830829d3ffff,293,High (50+)
89283095b4fffff,293,High (50+)
8929a199c4fffff,293,High (50+)
89283473173ffff,293,High (50+)
892830d2143ffff,293,High (50+)
8929a401ca3ffff,293,High (50+)
892830958a3ffff,293,High (50+)
89283082c13ffff,293,High (50+)
8929a0b003bffff,292,High (50+)
89283095b7bffff,292,High (50+)
89283082e17ffff,292,High (50+)
89283082897ffff,292,High (50+)
89283095803ffff,292,High (50+)
89283095a83ffff,292,High (50+)
8929a0b2e37ffff,292,High (50+)
8929a0b450fffff,292,High (50+)
8929a40e20fffff,291,High (50+)
89283095a63ffff,291,High (50+)
89283095a87ffff,291,High (50+)
8929a56b65bffff,291,High (50+)
892830876c7ffff,291,High (50+)
8929a401d8bffff,291,High (50+)
8929a565197ffff,291,High (50+)
89283095bb3ffff,291,High (50+)
8929a56145bffff,291,High (50+)
8929a403353ffff,291,High (50+)
8928309506bffff,291,High (50+)
8929a40aa6fffff,291,High (50+)
8929a110b4bffff,290,High (50+)
89283095c2fffff,290,High (50+)
892830953a3ffff,290,High (50+)
8928344486bffff,290,High (50+)
8928309589bffff,290,High (50+)
8929a41b087ffff,290,High (50+)
892830958b3ffff,290,High (50+)
8929a1c3463ffff,290,High (50+)
89283082e87ffff,290,High (50+)
89283095c6fffff,289,High (50+)
8928309536fffff,289,High (50+)
8928347308bffff,289,High (50+)
892834702bbffff,289,High (50+)
8929a41ad63ffff,289,High (50+)
89283095873ffff,289,High (50+)
8929a54d207ffff,289,High (50+)
8929a0b36a3ffff,289,High (50+)
8929a564243ffff,289,High (50+)
8929a1d0343ffff,289,High (50+)
8929a18f0b3ffff,289,High (50+)
89283082963ffff,289,High (50+)
89283095a9bffff,288,High (50+)
8929a0b6223ffff,288,High (50+)
8929a4088abffff,288,High (50+)
89283095247ffff,288,High (50+)
8929a0b00c3ffff,288,High (50+)
89283082923ffff,288,High (50+)
89298c99687ffff,288,High (50+)
892832ab27bffff,288,High (50+)
89283095d5bffff,288,High (50+)
8929a56e3b7ffff,288,High (50+)
892830876cfffff,288,High (50+)
8929a565513ffff,288,High (50+)
8929a56e657ffff,288,High (50+)
892830bb563ffff,288,High (50+)
89283082cabffff,288,High (50+)
8928309504fffff,288,High (50+)
8929a19812fffff,287,High (50+)
89283082d17ffff,287,High (50+)
89283095e77ffff,287,High (50+)
8929a418c8fffff,287,High (50+)
