fips,lc_type,bldgtype,freq
6081,urban+forest,H,0.004268678912726171
6081,urban+barren,W,0.0014045330616066756
6081,forest,S,0.0012117540139351712
6081,urban+barren,M,0.0011291344220759549
6081,urban,H,0.0011015945581228828
6081,forest,C,0.0010465148302167388
6081,urban+shrub,C,0.0006334168709206577
6081,forest,H,0.0005783371430145135
6081,urban+shrub,H,0.0005232574151083694
6081,barren,W,0.00041309795929608107
6081,shrub,W,0.00041309795929608107
6081,barren,M,0.00035801823138993693
6081,shrub,M,0.0002753986395307207
6081,urban+barren,C,0.0001927790476715045
6081,urban+shrub,S,0.0001927790476715045
6081,urban+barren,S,0.00011015945581228829
6081,shrub,C,8.261959185921622e-05
6081,crop,W,5.5079727906144145e-05
6079,urban+grass,W,0.2278814200638305
6079,urban+grass,M,0.2178462145888856
6079,shrub,W,0.0659033330043102
6079,shrub,M,0.05971769815418024
6079,forest,W,0.05491396045141973
6079,forest,M,0.05402559799953937
6079,urban+forest,W,0.04293751850755108
6079,urban+forest,M,0.041753035238377256
6079,urban+shrub,W,0.036225446648899415
6079,urban+grass,C,0.03326423847596486
6079,urban+shrub,M,0.033033922284736617
6079,shrub,H,0.020202020202020204
6079,urban+grass,H,0.01908334155891159
6079,urban+crop,W,0.01450992004737933
6079,urban+grass,S,0.014411213108281511
6079,urban+crop,M,0.013786069160661994
6079,forest,H,0.00845589444937979
6079,grass,W,0.00457342151153226
6079,grass,M,0.004474714572434442
6079,crop,W,0.004277300694238805
6079,urban+shrub,H,0.0040798868160431675
6079,crop,M,0.003948277563912743
6079,urban+forest,H,0.0038824729378475306
6079,urban+forest,C,0.003257328990228013
6079,urban+crop,H,0.002237357286217221
6079,shrub,S,0.0017438225907281282
6079,urban+shrub,C,0.0014806040864672786
6079,urban+shrub,S,0.0014147994604020663
6079,urban+forest,S,0.0011186786431086105
6079,crop,H,0.0009870693909781857
6079,forest,C,0.0009870693909781857
6079,shrub,C,0.0009541670779455796
6079,forest,S,0.0007896555127825486
6079,crop,S,0.0005593393215543053
6079,urban+crop,C,0.0003619254433586681
6079,grass,S,0.0003290231303260619
6079,urban+crop,S,0.00019741387819563716
6079,crop,C,0.00013160925213042478
6079,grass,C,0.00013160925213042478
6079,grass,H,0.00013160925213042478
6077,urban+crop,W,0.18646269907795474
6077,urban+crop,M,0.18250209555741828
6077,urban,W,0.15129924559932942
6077,urban,M,0.1459555741827326
6077,urban+forest,W,0.052933780385582566
6077,urban+forest,M,0.049706621961441745
6077,urban+grass,W,0.02814333612740989
6077,urban+grass,M,0.026781223805532273
6077,forest,W,0.02168901927912825
6077,forest,M,0.020054484492875106
6077,crop,M,0.01978206202849958
6077,crop,W,0.018692372170997486
6077,urban,C,0.016345347862531435
6077,urban+crop,C,0.014920368818105616
6077,shrub,M,0.007271584241408215
6077,shrub,W,0.0070620284995808885
6077,urban+crop,H,0.006475272422464376
6077,urban+crop,S,0.00586756077116513
6077,urban,H,0.005658005029337804
6077,urban,S,0.005238893545683152
6077,urban+shrub,M,0.005092204526404023
6077,urban+shrub,W,0.005092204526404023
6077,urban+forest,H,0.0025775356244761107
6077,crop,H,0.0023051131601005866
6077,urban+forest,C,0.0023051131601005866
6077,forest,H,0.001592623637887678
6077,urban+forest,S,0.0012363788767812238
6077,crop,S,0.0008382229673093043
6077,urban+barren,M,0.0008172673931265717
6077,urban+barren,W,0.000796311818943839
6077,grass,M,0.0007753562447611065
6077,grass,W,0.0006705783738474435
