fips,lc_type,clr,count,exposure
6015,urban+forest,coffee,1232,3056
6015,urban+forest,lilac,251,3056
6015,urban+forest,plum,16,3056
6015,urban+forest,red,323,3056
6015,urban+forest,terracotta,179,3056
6015,urban+forest,verde,636,3056
6017,forest,alabaster,5136,34904
6017,forest,amber,893,34904
6017,forest,bar,34,34904
6017,forest,brown,18018,34904
6017,forest,foo,66,34904
6017,forest,green,6292,34904
6017,forest,indigo,1905,34904
6017,forest,lavender,645,34904
6017,forest,navy,5,34904
6017,forest,terracotta,1910,34904
6017,shrub,alabaster,24,148
6017,shrub,amber,5,148
6017,shrub,brown,71,148
6017,shrub,green,9,148
6017,shrub,indigo,21,148
6017,shrub,lavender,5,148
6017,shrub,terracotta,13,148
6017,urban+forest,alabaster,2404,22667
6017,urban+forest,amber,1767,22667
6017,urban+forest,bar,60,22667
6017,urban+forest,brown,8387,22667
6017,urban+forest,foo,698,22667
6017,urban+forest,gold,48,22667
6017,urban+forest,green,3653,22667
6017,urban+forest,indigo,1108,22667
6017,urban+forest,lavender,1543,22667
6017,urban+forest,lilac,33,22667
6017,urban+forest,navy,14,22667
6017,urban+forest,terracotta,2952,22667
6017,urban+grass,alabaster,229,1305
6017,urban+grass,amber,158,1305
6017,urban+grass,bar,7,1305
6017,urban+grass,brown,324,1305
6017,urban+grass,foo,106,1305
6017,urban+grass,gold,6,1305
6017,urban+grass,green,54,1305
6017,urban+grass,indigo,104,1305
6017,urban+grass,lavender,104,1305
6017,urban+grass,lilac,2,1305
6017,urban+grass,navy,2,1305
6017,urban+grass,terracotta,209,1305
6017,urban+shrub,alabaster,30,145
6017,urban+shrub,amber,21,145
6017,urban+shrub,brown,31,145
6017,urban+shrub,foo,6,145
6017,urban+shrub,green,2,145
6017,urban+shrub,indigo,18,145
6017,urban+shrub,lavender,10,145
6017,urban+shrub,terracotta,27,145
6019,barren,alabaster,40,501
6019,barren,amber,26,501
6019,barren,cocoa,288,501
6019,barren,green,22,501
6019,barren,grey,3,501
6019,barren,indigo,3,501
6019,barren,lemon,1,501
6019,barren,navy,40,501
6019,barren,orange,43,501
6019,barren,purple,7,501
6019,barren,red,28,501
6019,crop,alabaster,851,2760
6019,crop,amber,37,2760
6019,crop,cocoa,1007,2760
6019,crop,green,104,2760
6019,crop,grey,118,2760
6019,crop,indigo,22,2760
6019,crop,navy,263,2760
6019,crop,orange,186,2760
6019,crop,red,172,2760
6019,forest,alabaster,232,3418
6019,forest,amber,81,3418
6019,forest,cocoa,1973,3418
6019,forest,green,656,3418
6019,forest,grey,4,3418
6019,forest,indigo,4,3418
6019,forest,lemon,1,3418
6019,forest,navy,247,3418
6019,forest,orange,176,3418
6019,forest,purple,7,3418
6019,forest,red,37,3418
6019,grass,alabaster,49,375
6019,grass,cocoa,124,375
6019,grass,green,30,375
6019,grass,grey,74,375
6019,grass,indigo,31,375
6019,grass,lemon,3,375
6019,grass,navy,15,375
6019,grass,orange,30,375
6019,grass,purple,6,375
6019,grass,red,13,375
6019,shrub,alabaster,223,2643
6019,shrub,amber,40,2643
6019,shrub,cocoa,1426,2643
6019,shrub,green,40,2643
6019,shrub,grey,2,2643
6019,shrub,indigo,4,2643
6019,shrub,navy,343,2643
6019,shrub,orange,344,2643
6019,shrub,purple,4,2643
6019,shrub,red,217,2643
6019,urban,alabaster,20435,175853
6019,urban,amber,22191,175853
6019,urban,cocoa,41457,175853
6019,urban,green,5245,175853
6019,urban,grey,589,175853
6019,urban,indigo,276,175853
6019,urban,lemon,601,175853
6019,urban,navy,13629,175853
6019,urban,orange,33292,175853
6019,urban,purple,19066,175853
6019,urban,red,19072,175853
6019,urban+barren,alabaster,899,12114
6019,urban+barren,amber,1229,12114
6019,urban+barren,cocoa,3176,12114
6019,urban+barren,green,808,12114
